"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1730633*","20721097*"
"2","Total No. of patients tested Positive","23918","784446"
"3","No. of patients discharged","23410","763684"
"4","Total Deaths reported","196","20501"
"5","Sample collected on the day","","7972"
"6","Test conducted on the day","","7831"
"7","Positive cases on the day","","17"
"8","Number of active Cases","","261"
"9","No. of Patients on oxygen support","","7"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218879"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117929"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211925"
"18","Frontline Workers vaccinated with 2nd dose on the day","","7"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019165"
"20","Above 45 Vaccinated with 1st dose on the day","","61"
"21","Total Above 45 Vaccinated with 1st dose","","8346160"
"22","Above 45 Vaccinated with 2nd dose on the day","","275"
"23","Total Above 45 Vaccinated with 2nd dose","","7649235"
"24","18-44 years age group Vaccinated with 1st dose on the day","","204"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12659248"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","816"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10688119"
"28","15-17 years age group Vaccinated with 1st dose on the day","","64"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113989"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","215"
"31","Total 15-17 years age group Vaccinated with 2nddose","","859381"
"32","12-14 years age group Vaccinated with 1st dose on the day","","368"
"33","Total 12-14 years age group Vaccinated with 1st dose","","674670"
"34","12-14 years age group Vaccinated with 2nddose on the day","","546"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","476942"
"36","Precautionary dose given on the day","","4440"
"37","Total Precautionary dose given","","1735141"
"38","Total Vaccination 1st dose on the day","","266"
"39","Total Vaccination 2nd dose on the day","","1103"
"40","Total Vaccination 1st and 2nd dose on the day","","1369"
