"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227065","221183","5877","5"
"12","Nashik","472864","463944","8910","10"
"13","Ahmednagar","377697","370431","7242","24"
"14","Jalgaon","149526","146764","2761","1"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50085","670","2"
"17","Aurangabad","176533","172249","4284","0"
"18","Jalna","66328","65101","1224","3"
"19","Beed","109195","106304","2883","8"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58563","57276","1279","8"
"22","Hingoli","22175","21658","514","3"
"23","Nanded","102668","99960","2704","4"
"24","Osmanabad","75159","73020","2139","0"
"25","Amravati","105946","104321","1624","1"
"26","Akola","66181","64711","1470","0"
"27","Washim","45628","44985","641","2"
"28","Buldhana","92020","91184","836","0"
"29","Yavatmal","81980","80160","1820","0"
"30","Nagpur","576407","567184","9215","8"
"31","Wardha","65674","64261","1408","5"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98827","97231","1592","4"
