"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19053","","3796","","22849",""
"2","Total Active Cases","468 
(2.5%)","","34 
(0.89%)","","502 
(2.2%)",""
"3","Total Cured/ Discharged","18421 
(96.7%)","","3704                                  
(97.6%)","","(96.8%)",""
"4","Total Died","164 
(0.86%)","","58 
(1.5%)","","222 
(0.97%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","00","","21",""
"6","Total Positive cases in Home Isolation","320","","34","","354",""
"7","COVID Care Centre","83","","0","","83",""
"8","Facility Isolation","44","","0","","44",""
"9","No. of Samples Tested (Today)","924","","228","","1152",""
"10","No. of Samples Positive (Today)","111","","11","","122",""
"11","No. of Samples Negative (Today)","812","","217","","1029",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","467 
          00 
      00 
          99 
          566"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(11/01/2022)","","Test Done Today 
(12/01/2022)","","Cumulative"
"","","a)  RTPCR","259760","","885","","260645"
"","","b)  TRUENAT","11342","","11","","11353"
"","","c)  RAT","340633","","246","","340879"
"","","d)  CBNAAT","188","","10","","198"
"","","TOTAL","611923","","1152","","613075"
