"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22871","","5273","","28144",""
"2","Total Active Cases","86 
(0.38%)","","02 
(0.04%)","","88 
(0.31%)",""
"3","Total Cured/ Discharged","22617 
(98.9%)","","5211                                  
(98.8%)","","(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","28","","02","","30",""
"7","COVID Care Centre","53","","00","","53",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","624","","41","","665",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","611","","41","","652",""
"12","Repeat Positive/ Resampling (Today)","08","","00","","08",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","373 
        00 
        00 
        14 
       387"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(08/03/2022)","","Test Done Today 
(09/03/2022)","","Cumulative"
"","","a)  RTPCR","308332","","594","","308926"
"","","b)  TRUENAT","12486","","32","","12518"
"","","c)  RAT","347037","","38","","347075"
"","","d)  CBNAAT","832","","01","","833"
"","","TOTAL","668687","","665","","669352"
