"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22973","","5280","","28253",""
"2","Total Active Cases","06 
(0.03%)","","00 
(0%)","","06 
(0.02%)",""
"3","Total Cured/Discharged","22799 
(99.2%)","","5220 
(98.9%)","","28019 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","141","","11","","152",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","141","","11","","152",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","59 
03 
27 
04 
93"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(11/05/2022)","","Test Done Today 
(12/05/2022)","","Cumulative"
"","","a)RTPCR","320706","","97","","320803"
"","","b)TRUENAT","13835","","13","","13848"
"","","c)RAT","348506","","42","","348548"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","684152","","152","","684304"
