"1","Total Samples taken","16137778"
"2","Sample collected on the day","22460"
"3","Test conducted on the day","17217"
"4","Total No. of patients tested Positive","603279"
"5","No. of patients discharged","586352"
"6","Number of active Cases","325"
"7","Total Deaths reported","16602"
"8","No. of Patients on oxygen support","35"
"9","Patients at critical care Level-3 facilities","11"
"10","Patients who are critical and on ventilator support","2"
"11","Healthcare Workers vaccinated with 1st dose on the day","2"
"12","Total Healthcare Workers vaccinated with 1st dose","216844"
"13","Frontline Workers vaccinated with 1st dose on the day","11"
"14","Total Frontline Workers vaccinated with 1st dose","1153198"
"15","Healthcare Workers vaccinated with 2nd dose on the day","49"
"16","Total Healthcare Workers vaccinated with 2nd dose","138795"
"17","Frontline Workers vaccinated with 2nd dose on the day","137"
"18","Total Frontline Workers vaccinated with 2nd dose","337401"
"19","COVID-19 Vaccinated with 1st dose on the day 
(Healthcare + Frontline Workers)","13"
"20","COVID-19 Vaccinated with 2nd dose on the day 
(Healthcare + Frontline Workers)","186"
"21","Total COVID-19 Vaccinated with 1st dose 
(Healthcare + Frontline Workers)","1370042"
"22","Total COVID-19 Vaccinated with 2nd dose 
(Healthcare + Frontline Workers)","476196"
"23","Above 45 Vaccinated with 1st dose on the day","5518"
"24","Total Above 45 Vaccinated with 1st dose","6303160"
"25","Above 45 Vaccinated with 2nd dose on the day","17105"
"26","Total Above 45 Vaccinated with 2nd dose","3353298"
"27","18-44 years age group Vaccinated with 1st dose on the day","19171"
"28","Total 18-44 years age group Vaccinated with 1st dose","8752201"
"29","18-44 years age group Vaccinated with 2nd dose on the day","45686"
"30","Total 18-44 years age group Vaccinated with 2nd dose","3791066"
"31","Total Vaccination 1st dose on the day","24702"
"32","Total Vaccination 2nd  dose on the day","62977"
"33","Total Vaccination 1st  and 2nd dose on the day","87679"
