"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22968","","5280","","28248",""
"2","Total Active Cases","02 
(0.01%)","","00 
(0%)","","02 
(0.01%)",""
"3","Total Cured/Discharged","22798 
(99.3%)","","5220 
(98.9%)","","28018 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","01","","00","","01",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","103","","35","","138",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","102","","35","","137",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","09 
00 
11 
05 
25"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(06/05/2022)","","Test Done Today 
(07/05/2022)","","Cumulative"
"","","a)RTPCR","320371","","99","","320470"
"","","b)TRUENAT","13757","","16","","13773"
"","","c)RAT","348327","","18","","348345"
"","","d)  CBNAAT","1093","","05","","1098"
"","","TOTAL","683548","","138","","683686"
