"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","625562","4","37824","0","410","0","37384","30"
"2","ALWAR","1240949","1","59712","0","307","0","59389","16"
"3","BANSWARA","229079","0","10005","0","104","0","9901","0"
"4","BARAN","159692","0","11997","0","61","0","11935","1"
"5","BARMER","330858","0","15571","0","185","0","15384","2"
"6","BHARATPUR","382858","0","19601","0","260","0","19341","0"
"7","BHILWARA","390532","0","29782","0","156","0","29626","0"
"8","BIKANER","595249","0","40361","0","545","0","39802","14"
"9","BUNDI","175040","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","359140","0","19809","0","139","0","19670","0"
"11","CHURU","316927","0","16720","0","107","0","16613","0"
"12","DAUSA","209269","0","13353","0","62","0","13289","2"
"13","DHOLPUR","224326","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","248645","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","331409","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","374922","0","16053","0","111","0","15942","0"
"17","JAIPUR","2538748","8","187981","0","1971","5","185906","104"
"18","JAISALMER","205569","1","13644","0","66","0","13573","5"
"19","JALORE","374439","0","10067","0","72","0","9995","0"
"20","JHALAWAR","281081","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","371879","0","14811","0","158","0","14653","0"
"22","JODHPUR","1157044","0","112419","0","1103","0","111312","4"
"23","KARAULI","170191","0","7156","0","70","0","7086","0"
