"1","Total Samples taken","16403175"
"2","Sample collected on the day","35151"
"3","Test conducted on the day","28957"
"4","Total No. of patients tested Positive","603674"
"5","No. of patients discharged","586660"
"6","Number of active Cases","397"
"7","Total Deaths reported","16617"
"8","No. of Patients on oxygen support","27"
"9","Patients at critical care Level-3 facilities","7"
"10","Patients who are critical and on ventilator support","0"
"11","Healthcare Workers vaccinated with 1st dose on the day","3"
"12","Total Healthcare Workers vaccinated with 1st dose","217134"
"13","Frontline Workers vaccinated with 1st dose on the day","15"
"14","Total Frontline Workers vaccinated with 1st dose","1153763"
"15","Healthcare Workers vaccinated with 2nd dose on the day","231"
"16","Total Healthcare Workers vaccinated with 2nd dose","139397"
"17","Frontline Workers vaccinated with 2nd dose on the day","603"
"18","Total Frontline Workers vaccinated with 2nd dose","340134"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","18"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","834"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1370897"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","479531"
"23","Above 45 Vaccinated with 1st dose on the day","7328"
"24","Total Above 45 Vaccinated with 1st dose","6363723"
"25","Above 45 Vaccinated with 2nd dose on the day","23590"
"26","Total Above 45 Vaccinated with 2nd dose","3542997"
"27","18-44 years age group Vaccinated with 1st dose on the day","21917"
"28","Total 18-44 years age group Vaccinated with 1st dose","8927791"
"29","18-44 years age group Vaccinated with 2nd dose on the day","55834"
"30","Total 18-44 years age group Vaccinated with 2nd dose","4257772"
"31","Total Vaccination 1st dose on the day","29263"
"32","Total Vaccination 2nd dose on the day","80258"
"33","Total Vaccination 1st and 2nd dose on the day","109521"
