"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20134","","4079","","24213",""
"2","Total Active Cases","898 
(4.5%)","","203 
(5%)","","1101 
(4.5%)",""
"3","Total Cured/ Discharged","19072 
(94.7%)","","3818                                  
(93.6%)","","(94.5%)",""
"4","Total Died","164 
(0.81%)","","58 
(1.4%)","","222 
(0.92%)",""
"5","Total Positive cases admitted in COVID 
Hospital","24","","12","","36",""
"6","Total Positive cases in Home Isolation","738","","191","","929",""
"7","COVID Care Centre","100","","0","","100",""
"8","Facility Isolation","36","","0","","36",""
"9","No. of Samples Tested (Today)","681","","395","","1076",""
"10","No. of Samples Positive (Today)","112","","67","","179",""
"11","No. of Samples Negative (Today)","566","","328","","894",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","357 
          00 
      00 
           69 
          426"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(20/01/2022)","","Test Done Today 
(21/01/2022)","","Cumulative"
"","","a)  RTPCR","268556","","888","","269444"
"","","b)  TRUENAT","11449","","36","","11485"
"","","c)  RAT","341814","","152","","341966"
"","","d)  CBNAAT","247","","00","","247"
"","","TOTAL","622066","","1076","","623142"
