"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1491","51","0","7","174"
"2","ALWAR","1760","94","0","0","629"
"3","BANSWARA","401","7","0","7","17"
"4","BARAN","368","0","0","0","2"
"5","BARMER","25","0","0","0","2"
"6","BHARATPUR","1055","43","0","16","427"
"7","BHILWARA","797","15","0","0","64"
"8","BIKANER","956","10","0","0","49"
"9","BUNDI","252","0","0","6","63"
"10","CHITTORGARH","801","34","0","4","165"
"11","CHURU","438","10","0","0","10"
"12","DAUSA","632","22","0","18","107"
"13","DHOLPUR","132","0","0","0","19"
"14","DUNGARPUR","272","0","0","7","55"
"15","GANGANAGAR","307","0","0","0","5"
"16","HANUMANGARH","408","1","0","0","13"
"17","JAIPUR","2855","297","0","214","1494"
"18","JAISALMER","218","10","0","0","36"
"19","JALORE","206","2","0","0","17"
"20","JHALAWAR","678","3","1","3","23"
"21","JHUNJHUNU","1156","0","0","0","1"
"22","JODHPUR","756","38","0","33","114"
"23","KARAULI","470","0","0","0","0"
"24","KOTA","961","11","0","2","73"
"25","NAGAUR","889","19","0","11","110"
"26","PALI","1618","2","0","1","76"
