"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1213146","20203609"
"2","Total No. of patients tested Positive","12530","773093"
"3","No. of patients discharged","9451","749726"
"4","Total Deaths reported","69","20375"
"5","Sample collected on the day","","11964"
"6","Test conducted on the day","","11721"
"7","Positive cases on the day","","526"
"8","Number of active Cases","","2992"
"9","No. of Patients on oxygen support","","85"
"10","Patients at critical care Level-3 facilities","","9"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218789"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117692"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","24"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211467"
"18","Frontline Workers vaccinated with 2nd dose on the day","","84"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017400"
"20","Above 45 Vaccinated with 1st dose on the day","","240"
"21","Total Above 45 Vaccinated with 1st dose","","8337350"
"22","Above 45 Vaccinated with 2nd dose on the day","","2724"
"23","Total Above 45 Vaccinated with 2nd dose","","7583263"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1223"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12626916"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","6595"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10529512"
"28","15-17 years age group Vaccinated with 1st dose on the day","","304"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1102223"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1294"
"31","Total 15-17 years age group Vaccinated with 2nddose","","824623"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1293"
"33","Total 12-14 years age group Vaccinated with 1st dose","","639962"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1344"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","424501"
"36","Precautionary dose given on the day","","24087"
"37","Total Precautionary dose given","","1063016"
"38","Total Vaccination 1st dose on the day","","1469"
"39","Total Vaccination 2nd dose on the day","","9427"
"40","Total Vaccination 1st and 2nd dose on the day","","10896"
