"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,229"
"2","Number of persons tested positive today in Tamil Nadu","639"
"3","Total Number of persons tested positive till date","35,62,092"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,871/ 
6,86,42,042@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,601/ 
6,74,31,094"
"6","No. of Male / Female / Transgender tested positive today","383/256/0"
"7","No. of Male / Female / Transgender tested positive till date","20,77,214/14,84,840/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","810/ 
35,17,830"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
