"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","424"
"2","Number of persons tested positive today in Tamil Nadu","42"
"","Passengers returned from other states  by Road tested 
positive today","Goa-2"
"","Total","44"
"3","Total Number of persons tested positive till date","34,54,556"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,543/ 
6,63,72,611@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,524/ 
6,51,95,569"
"6","No. of Male / Female / Transgender tested positive today","25/19/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,086/14,38,432/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","58/ 
34,16,107"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
