"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","760","14","0","2","88"
"2","ALWAR","1445","12","0","20","100"
"3","BANSWARA","149","7","0","1","14"
"4","BARAN","300","0","0","2","5"
"5","BARMER","39","0","0","3","1"
"6","BHARATPUR","251","0","0","0","16"
"7","BHILWARA","323","6","0","6","28"
"8","BIKANER","607","8","0","8","33"
"9","BUNDI","113","2","0","1","12"
"10","CHITTORGARH","305","4","0","10","44"
"11","CHURU","120","0","0","0","0"
"12","DAUSA","635","16","0","8","71"
"13","DHOLPUR","305","1","0","0","14"
"14","DUNGARPUR","105","1","0","3","32"
"15","GANGANAGAR","253","0","0","0","5"
"16","HANUMANGARH","211","0","0","0","5"
"17","JAIPUR","1731","31","0","91","282"
"18","JAISALMER","26","2","0","6","6"
"19","JALORE","126","0","0","0","2"
"20","JHALAWAR","420","2","0","5","7"
"21","JHUNJHUNU","612","0","0","2","3"
"22","JODHPUR","450","20","0","9","109"
"23","KARAULI","278","0","0","0","5"
"24","KOTA","1016","11","0","3","58"
"25","NAGAUR","345","2","0","12","17"
"26","PALI","393","2","0","14","24"
