"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","652102","2","37877","0","410","4","37440","27"
"2","ALWAR","1316565","0","59746","0","307","0","59435","4"
"3","BANSWARA","252656","0","10005","0","104","0","9901","0"
"4","BARAN","175932","0","12000","0","61","0","11939","0"
"5","BARMER","341787","0","15586","0","186","0","15394","6"
"6","BHARATPUR","393449","0","19605","0","260","0","19344","1"
"7","BHILWARA","414668","0","29799","0","156","0","29627","16"
"8","BIKANER","615364","3","40418","0","546","3","39854","18"
"9","BUNDI","186525","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","376147","0","19809","0","139","0","19670","0"
"11","CHURU","338223","0","16723","0","108","0","16615","0"
"12","DAUSA","222434","0","13356","0","62","1","13294","0"
"13","DHOLPUR","231842","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","261089","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","350433","3","19366","0","151","0","19208","7"
"16","HANUMANGARH","406643","0","16077","0","111","0","15964","2"
"17","JAIPUR","2635907","46","188317","0","1971","2","186173","173"
"18","JAISALMER","212227","0","13651","0","66","0","13580","5"
"19","JALORE","389978","0","10068","0","72","0","9996","0"
"20","JHALAWAR","307631","0","13613","0","187","1","13426","0"
"21","JHUNJHUNU","403078","0","14828","0","160","1","14661","7"
"22","JODHPUR","1189535","1","112453","0","1103","2","111337","13"
"23","KARAULI","183622","0","7156","0","70","0","7086","0"
