"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","684111","19672980"
"2","Total No. of patients tested Positive","1530","760603"
"3","No. of patients discharged","1405","742655"
"4","Total Deaths reported","8","17754"
"5","Sample collected on the day","","9717"
"6","Test conducted on the day","","9599"
"7","Positive cases on the day","","55"
"8","Number of active Cases","","194"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218644"
"14","Frontline Workers vaccinated with 1st dose on the day","","12"
"15","Total Frontline Workers vaccinated with 1st dose","","1117371"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","30"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210280"
"18","Frontline Workers vaccinated with 2nd dose on the day","","93"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013014"
"20","Above 45 Vaccinated with 1st dose on the day","","722"
"21","Total Above 45 Vaccinated with 1st dose","","8318715"
"22","Above 45 Vaccinated with 2nd dose on the day","","9153"
"23","Total Above 45 Vaccinated with 2nd dose","","7335211"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1819"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12570879"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18468"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10008543"
"28","15-17 years age group Vaccinated with 1st dose on the day","","645"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1079998"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2510"
"31","Total 15-17 years age group Vaccinated with 2nddose","","729970"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1213"
"33","Total 12-14 years age group Vaccinated with 1st dose","","585339"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3702"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","301025"
"36","Precautionary dose given on the day","","6641"
"37","Total Precautionary dose given","","674993"
"38","Total Vaccination 1st dose on the day","","2555"
"39","Total Vaccination 2nd dose on the day","","27744"
"40","Total Vaccination 1st and 2nd dose on the day","","30299"
