"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","205","109981","180","107669","3","2282","30"
"2","SAS Nagar","437","96126","367","94900","1","1149","77"
"3","Jalandhar","143","78413","120","76820","0","1578","15"
"4","Patiala","231","62262","217","60789","0","1457","16"
"5","Amritsar","91","59488","87","57795","0","1682","11"
"6","Bathinda","60","50928","55","49833","0","1088","7"
"7","Hoshiarpur","62","40902","67","39799","0","1096","7"
"8","Gurdaspur","22","26961","21","26094","1","865","2"
"9","Pathankot","50","24582","50","24083","0","495","4"
"10","Fazilka","28","23426","41","22880","0","545","1"
"11","Muktsar","13","22567","12","22022","0","539","6"
"12","Kapurthala","40","22075","38","21490","1","583","2"
"13","Ropar","35","17973","30","17513","0","455","5"
"14","Ferozepur","19","17918","19","17379","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","33","16816","34","16475","0","338","3"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","21","13423","25","13013","0","409","1"
"19","FG Sahib","13","11847","12","11492","0","354","1"
"20","Moga","7","10995","9","10740","1","255","0"
"21","Tarn Taran","6","10904","3","10508","0","394","2"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1530","760603","1405","742655","8","17754","194"
