"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"4","Raigad","247432","241397","4948","1087"
"5","Ratnagiri","84584","81986","2546","52"
"6","Sindhudurg","57265","55671","1533","61"
"7","Pune","1459699","1436844","20545","2310"
"8","Satara","278306","271552","6716","38"
"9","Sangli","227127","221446","5666","15"
"10","Kolhapur","220546","214608","5904","34"
"11","Solapur","227146","221232","5879","35"
"12","Nashik","473302","464187","8911","204"
"13","Ahmednagar","377874","370561","7242","71"
"14","Jalgaon","149608","146822","2762","24"
"15","Nandurbar","46621","45657","962","2"
"16","Dhule","50799","50121","670","8"
"17","Aurangabad","176671","172324","4284","63"
"18","Jalna","66345","65113","1224","8"
"19","Beed","109231","106341","2885","5"
"20","Latur","105008","102470","2489","49"
"21","Parbhani","58596","57303","1279","14"
"22","Hingoli","22194","21668","514","12"
"23","Nanded","102703","99988","2704","11"
"24","Osmanabad","75206","73047","2139","20"
"25","Amravati","106011","104367","1624","20"
"26","Akola","66230","64740","1470","20"
"27","Washim","45718","45035","641","42"
