"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","790872","0","49813","0","447","0","49348","18"
"2","ALWAR","1617312","13","84752","0","321","7","84386","45"
"3","BANSWARA","320337","0","14771","0","106","0","14663","2"
"4","BARAN","239201","1","15308","0","64","0","15240","4"
"5","BARMER","404467","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476302","0","31451","0","272","0","31179","0"
"7","BHILWARA","508382","4","38200","0","162","0","38027","11"
"8","BIKANER","748802","3","50018","0","587","13","49387","44"
"9","BUNDI","235619","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453017","3","29399","0","140","0","29251","8"
"11","CHURU","435871","5","20887","0","115","0","20744","28"
"12","DAUSA","294341","0","15845","0","81","0","15744","20"
"13","DHOLPUR","287197","0","13965","0","49","0","13914","2"
"14","DUNGARPUR","327896","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","423040","1","28156","0","158","0","27993","5"
"16","HANUMANGARH","488942","0","22521","0","114","0","22404","3"
"17","JAIPUR","3446159","46","276539","0","2113","0","274103","323"
"18","JAISALMER","242639","0","17036","0","68","0","16968","0"
"19","JALORE","446175","0","10551","0","78","0","10470","3"
"20","JHALAWAR","404698","1","17754","0","207","0","17540","7"
"21","JHUNJHUNU","493279","0","19160","0","181","0","18978","1"
"22","JODHPUR","1426889","3","141173","0","1164","8","139992","17"
"23","KARAULI","240960","0","8968","0","84","0","8884","0"
