"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","362"
"2","Number of persons tested positive today in Tamil Nadu","54"
"","Passengers returned from other states  by Road tested 
positive today","Assam-1"
"","","55"
"3","Total Number of persons tested positive till date","34,53,607"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,249/ 
6,60,72,440@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,240/ 
6,48,95,694"
"6","No. of Male / Female / Transgender tested positive today","33/22/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,560/14,38,009/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","27/ 
34,15,220"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
