"Total No. of Sample Taken Today","16466"
"Total No. of Positive Cases Detected Today","1145"
"Total Active COVID-19 Patients","4754"
"Total No. of Active Cases under Home Isolation (10-08-2022)","4556"
"Total No. of Samples found Positive till date","1038862"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1023434"
"No. of Deaths","10651"
"Total No. of People Vaccinated Today","13964 
(1st Dose: 495 
2nd Dose: 3564 
Precaution Dose: 9905)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23632262 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19700283 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1576763"
"Cumulative Coverage of Total COVID-19 Vaccination","44909308"
"COVID-19 Today (10-08-2022) Positivity Rate","7.59%"
"Recovery Rate","98.51%"
"Fatality Rate","1.03%"
