"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23923","","5337","","29260",""
"2","Total Active Cases","40 
(0.17%)","","02 
(0.04%)","","42 
(0.14%)",""
"3","Total Cured/Discharged","23713 
(99.12%)","","5275 
(98.8%)","","28988 
(99.07%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","28","","02","","30",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","07","","00","","07",""
"9","No. of Samples Tested (Today)","104","","40","","144",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","98","","40","","138",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","44 
108 
02 
00 
154"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(06/09/2022)","","Test Done Today 
(07/09/2022)","","Cumulative"
"","","a)RTPCR","37392","","68","","37460"
"","","b)TRUENAT","15008","","15","","15023"
"","","c)RAT","362658","","61","","362719"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","716283","","144","","716427"
