"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,688+4","15,548+4","102","38","24-Nov-21"
"2","Coochbehar","29,580+12","29,356+12","97","127","24-Nov-21"
"3","Darjeeling","57,841+28","56,997+29","547","297-1","24-Nov-21"
"4","Kalimpong","7,118+5","7,036+3","54","28+2","24-Nov-21"
"5","Jalpaiguri","42,322+19","41,590+14","587","145+5","24-Nov-21"
"6","Uttar Dinajpur","20,039+5","19,741+6","240","58-1","24-Nov-21"
"7","Dakshin Dinajpur","18,423+15","18,055+19","173","195-4","24-Nov-21"
"8","Malda","33,656+7","33,373+10","188","95-3","24-Nov-21"
"9","Murshidabad","34,120+5","33,737+5","330","53","24-Nov-21"
"10","Nadia","74,148+27","72,969+30","882+2","297-5","24-Nov-21"
"11","Birbhum","41,548+16","41,113+14","289","146+2","24-Nov-21"
"12","Purulia","19,463+1","19,333+2","114","16-1","24-Nov-21"
"13","Bankura","36,764+16","36,323+16","276","165","24-Nov-21"
"14","Jhargram","12,273+6","12,193+5","27","53+1","24-Nov-21"
"15","Paschim Medinipur","54,004+4","53,344+16","508","152-12","24-Nov-21"
"16","Purba Medinipur","63,343+13","62,839+10","400","104+3","24-Nov-21"
"17","Purba Bardhaman","42,494+16","42,107+18","204+1","183-3","24-Nov-21"
"18","Paschim Bardhaman","58,300+16","57,732+21","360+1","208-6","24-Nov-21"
"19","Howrah","1,00,309+58","98,163+60","1,533","613-2","24-Nov-21"
"20","Hooghly","87,881+65","86,239+62","1,010+1","632+2","24-Nov-21"
"21","North 24 Parganas","3,32,764+141","3,26,455+137","4,907+2","1,402+2","24-Nov-21"
"22","South 24 Parganas","1,02,618+64","1,00,586+65","1,371+2","661-3","24-Nov-21"
"23","Kolkata","3,27,979+215","3,20,552+216","5,228+2","2,199-3","24-Nov-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","16,12,741+758","15,85,444+774","19,430+11","7,867-27",""
