"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"25","Amravati","106667","104882","1625","160"
"26","Akola","66779","65245","1474","60"
"27","Washim","47071","46247","641","183"
"28","Buldhana","92827","91893","838","96"
"29","Yavatmal","82468","80544","1820","104"
"30","Nagpur","583062","572298","9216","1548"
"31","Wardha","66109","64601","1409","99"
"32","Bhandara","69004","67538","1142","324"
"33","Gondia","45687","45022","587","78"
"34","Chandrapur","99447","97720","1595","132"
"35","Gadchiroli","37272","36482","728","62"
"","Other states/country","144","31","113","0"
"","Total","8047455","7886348","148104","13003"
