"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22980","","5281","","28261",""
"2","Total Active Cases","05 
(0.02%)","","00 
(0%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22807 
(99.2%)","","5221 
(98.9%)","","28028 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","130","","13","","143",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","129","","13","","142",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","71 
07 
10 
15 
103"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(21/05/2022)","","Test Done Today 
(22/05/2022)","","Cumulative"
"","","a)RTPCR","321652","","111","","321763"
"","","b)TRUENAT","13951","","07","","13958"
"","","c)RAT","348972","","25","","348997"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","685680","","143","","685823"
