,S.No.,जनपद का नाम,विगत 24 घटंों की,विगत 24 घटंों की.1,आज तक कुल,विगत 24 घटंों की.2,कोविि,ितमान म कुल
0,,,अिधि म  ससंधूित,अिधि म  ससंधूित,डिस्िाज,अिधि म  ससंधूित,िनात्मक,सक्रिय केसजे की
1,,,"पषु्ट रोगी (6 AM,","डिस्िाज (6 AM, 26",,"मतृ्य ु(6 AM, 26",रोधगयों म,सखं्या
2,,,26 January),January),,January),कुल मतृ्य ु*,
3,1.0,लखनऊ,2096,3294,264670,2,2661,14638
4,2.0,गौतम बिु नगर,710,1323,86871,2,473,5201
5,3.0,गाज़ियाबाद,501,852,76657,1,468,3678
6,4.0,कानपरु नगर,487,550,85818,2,1913,3479
7,5.0,मरेठ,434,902,82665,2,919,3327
8,6.0,िाराणसी,377,594,91405,1,977,2873
9,7.0,झ सी,385,289,38384,0,664,2567
10,8.0,प्रय गर ज,320,499,82003,0,1094,2442
11,9.0,आगरा,239,617,32431,0,460,1820
12,10.0,गोरखपरु,248,342,62450,1,853,1743
13,11.0,मजुफ्फरनगर,75,477,35492,1,272,1723
14,12.0,बरेली,168,355,46980,0,377,1662
15,13.0,सहारनपरु,193,211,36150,1,423,1415
16,14.0,बलुदंशहर,213,415,23557,1,247,1412
17,15.0,लखीमपरु-खीरी,173,255,25576,0,297,1382
18,16.0,र य बरेली,203,104,17950,1,345,1255
19,17.0,मरुादाबाद,62,323,44101,1,359,1182
20,18.0,ब र बकंी,94,292,21428,0,225,1069
21,19.0,हरदोई,116,198,14857,0,353,1046
22,20.0,शामली,219,224,14885,0,47,985
23,21.0,बद य,128,199,16022,0,101,955
24,22.0,अलीगढ,129,183,23860,0,111,935
25,23.0,श हजह ंपरु,119,231,21519,0,445,934
26,24.0,सीत परु,89,184,13302,0,186,889
27,25.0,बबजनौर,143,184,16397,0,126,876
28,26.0,इट व,74,107,14408,0,295,856
29,27.0,अमरोह,167,151,17731,0,205,824
30,28.0,एट,76,1,10707,0,100,749
31,29.0,सलु्त नपरु,113,123,15546,1,141,728
32,30.0,गाजीपरु,125,186,22453,0,285,671
33,31.0,मथरु,121,348,24167,0,405,653
34,32.0,ज लौन,89,118,11887,0,204,628
35,33.0,बहर इच,76,124,11998,0,178,616
36,34.0,हापड़ु,63,147,14021,0,218,616
37,35.0,गोंड,60,170,12861,0,273,614
38,36.0,फरु्रख ब द,61,119,10783,0,195,606
39,37.0,ससद्ध थ ुनगर,86,75,9890,0,101,594
40,38.0,सोनभद्र,81,96,17382,0,253,587
41,39.0,पीलीभीत,89,77,11292,0,195,572
42,40.0,देवररय,101,95,20722,0,225,566
43,41.0,आजमगढ़,62,57,18183,0,231,562
44,42.0,कन्नौज,76,59,9464,0,116,538
45,43.0,जौनपरु,87,111,23036,0,239,515
