"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,722"
"2","Number of persons tested positive today in Tamil Nadu","756"
"3","Total Number of persons tested positive till date","27,20,271"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,767/ 
5,33,58,226@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,485/ 
5,24,28,166"
"6","No. of Male / Female / Transgender tested positive today","445/311/0"
"7","No. of Male / Female / Transgender tested positive till date","15,87,705/11,32,528/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","847/ 
26,75,174"
"10","Total number of deaths today/ till date","14(7 Private &  
7 Govt) /36,375)"
