"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 27-07-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1647","",""
"","","2","Total Discharges","3950794","",""
"","","3","Today's Tests Conducted","33336","",""
"","","4","Total Tests Conducted","67671831","",""
"","","5","Today’s New Cases Reported (26.07.2022, 00:00 to 23:59)","1624","",""
"","","6","Total Active Cases","8836","",""
"","","7","Today's Deaths Reported","2","",""
"","","8","Total Covid Deaths","40094","",""
"","","9","Total Positive Cases","3999766","",""
"","","10","Positivity Rate for the day (26.07.2022, 00:00 to 23:59)","4.87%","",""
"","","11","*Weekly Total Positivity Rate","5.35%","",""
"","","12","Case Fatality Rate (CFR) for the day (26.07.2022, 00:00 to 23:59)","0.12%","",""
"","","13","*Weekly Case Fatality Rate","0.05%","",""
"*From  21-07-2022 to  27-07-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5265* 
1283310 
          * Date:  26-07-2022  
 
 
Date: 27-07-2022 
Page 1 of 10","","","","","",""
