"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23950","","5337","","29287",""
"2","Total Active Cases","42 
(0.17%)","","00 
(0%)","","42 
(0.14%)",""
"3","Total Cured/Discharged","23738 
(99.11%)","","5277 
(98.9%)","","29015 
(99.07%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","26","","00","","26",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","16","","00","","16",""
"9","No. of Samples Tested (Today)","95","","27","","122",""
"10","No. of Samples Positive (Today)","17","","00","","17",""
"11","No. of Samples Negative (Today)","78","","27","","105",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","52 
00 
00 
00 
52"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(10/09/2022)","","Test Done Today 
(11/09/2022)","","Cumulative"
"","","a)RTPCR","37735","","87","","37822"
"","","b)TRUENAT","15068","","11","","15079"
"","","c)RAT","362879","","24","","362903"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","716907","","122","","717029"
