"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,204"
"2","Number of persons tested positive today in Tamil Nadu","509"
"","Passengers returned from other countries by Road 
tested positive today","Bangladesh-1"
"","Passengers returned from other states  by Domestic 
airport/Road tested positive today","Andaman and Nicobar 
Islands-1 
Puducherry-1"
"","Total","512"
"3","Total Number of persons tested positive till date","35,67,672"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,306/ 
6,88,64,533@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,114/ 
6,76,51,384"
"6","No. of Male / Female / Transgender tested positive today","300/212/0"
"7","No. of Male / Female / Transgender tested positive till date","20,80,530/14,87,104/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","575/ 
35,24,433"
"10","Total number of deaths today/ till date","1 (0 Private & 
1 Govt) /38,035"
