"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22933","","5275","","28208",""
"2","Total Active Cases","34 
(0.15%)","","02 
(0.04%)","","36 
(0.13%)",""
"3","Total Cured/ Discharged","22731 
(99.1%)","","5213                                  
(98.8%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","14","","02","","16",""
"7","COVID Care Centre","10","","00","","10",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","206","","21","","227",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","203","","21","","224",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","172 
        00 
        00 
        02 
       174"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(20/03/2022)","","Test Done Today 
(21/03/2022)","","Cumulative"
"","","a)  RTPCR","313118","","192","","313310"
"","","b)  TRUENAT","12726","","19","","12745"
"","","c)  RAT","347305","","16","","347321"
"","","d)  CBNAAT","913","","00","","913"
"","","TOTAL","674062","","227","","674289"
