"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22965","","5280","","28245",""
"2","Total Active Cases","05 
(0.02%)","","00 
(0%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22792 
(99.2%)","","5220 
(98.9%)","","28012 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","04","","00","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","133","","23","","156",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","132","","23","","155",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","43 
00 
00 
15 
58"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(25/04/2022)","","Test Done Today 
(26/04/2022)","","Cumulative"
"","","a)RTPCR","319460","","92","","319552"
"","","b)TRUENAT","13487","","37","","13524"
"","","c)RAT","348106","","24","","348130"
"","","d)  CBNAAT","1079","","03","","1082"
"","","TOTAL","682132","","156","","682288"
