"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23479","","5290","","28769",""
"2","Total Active Cases","128 
(0.54%)","","06 
(0.11%)","","134 
(0.46%)",""
"3","Total Cured/Discharged","23183 
(98.7%)","","5224 
(98.75%)","","28407 
(98.7%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","100","","05","","105",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","13","","00","","13",""
"9","No. of Samples Tested (Today)","238","","54","","292",""
"10","No. of Samples Positive (Today)","19","","00","","19",""
"11","No. of Samples Negative (Today)","217","","54","","271",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","70 
32 
04 
00 
106"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(23/07/2022)","","Test Done Today 
(24/07/2022)","","Cumulative"
"","","a)RTPCR","330677","","243","","330920"
"","","b)TRUENAT","14586","","04","","14590"
"","","c)RAT","353126","","45","","353171"
"","","d)  CBNAAT","1123","","00","","1123"
"","","TOTAL","699512","","292","","699804"
