"D
       
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 16-01-2022","","","","","","","",""
"","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","",""
"","","","","","","","",""
"","","1","Today’s Discharges","","5902","","",""
"","","2","Total Discharges","","2983645","","",""
"","","3","New Cases Reported (15.01.2022, 00:00 to 23:59)","","34047","","",""
"","","4","Total Active Cases","","197982","","",""
"","","5","New Covid Deaths","","13","","",""
"","","6","Total Covid Deaths","","38431","","",""
"","","7","Total Positive Cases","","3220087","","",""
"","","8","Positivity rate for the day (15.01.2022, 00:00 to 23:59)","","19.29%","","",""
"","","9","Case fatality rate (CFR) for the day (15.01.2022, 00:00 to 23:59)","","0.03%","","",""
"","","","","","","","",""
"","Particulars","","","Today’s","","Cumulative","",""
"","A 
Total Passengers screened at Air ports","","","1084**","","639763","",""
"","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","","381","","27208","",""
"*As specified from GOI  
**Date 15-01-2022 
 
 
Date: 16-01-2022 
 Page 1 of 18","","","","","","","",""
