"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1195","8","0","1","172"
"2","ALWAR","1618","59","0","107","359"
"3","BANSWARA","216","2","0","0","39"
"4","BARAN","292","1","0","0","1"
"5","BARMER","68","0","0","0","2"
"6","BHARATPUR","1009","50","0","72","428"
"7","BHILWARA","704","8","0","4","97"
"8","BIKANER","901","13","0","12","45"
"9","BUNDI","156","6","0","6","44"
"10","CHITTORGARH","738","14","0","0","167"
"11","CHURU","638","1","0","3","11"
"12","DAUSA","658","33","0","0","136"
"13","DHOLPUR","53","0","0","1","11"
"14","DUNGARPUR","537","1","0","9","32"
"15","GANGANAGAR","258","0","0","1","5"
"16","HANUMANGARH","676","7","0","0","22"
"17","JAIPUR","2238","171","0","74","1471"
"18","JAISALMER","167","5","0","1","28"
"19","JALORE","330","0","0","1","15"
"20","JHALAWAR","339","4","0","2","26"
"21","JHUNJHUNU","977","0","0","0","7"
"22","JODHPUR","724","32","0","13","161"
"23","KARAULI","288","0","0","0","0"
"24","KOTA","1011","13","0","9","58"
"25","NAGAUR","779","0","0","14","90"
"26","PALI","1088","1","0","8","38"
