"Total No. of Sample Taken Today","8239"
"Total No. of Positive Cases Detected Today","68"
"Total Active COVID-19 Patients","619"
"Total No. of Active Cases under Home Isolation (11-09-2022)","566"
"Total No. of Samples found Positive till date","1053734"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1042399"
"No. of Deaths","10693"
"Total No. of People Vaccinated Today","2403 
(1st Dose: 101 
2nd Dose: 269 
Precaution Dose: 2033)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23654491 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19781589 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1830951"
"Cumulative Coverage of Total COVID-19 Vaccination","45267031"
"COVID-19 Today (11-09-2022) Positivity Rate","0.68%"
"Recovery Rate","98.92%"
"Fatality Rate","1.01%"
