"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24021","","5338","","29359",""
"2","Total Active Cases","21 
(0.09%)","","00 
(0%)","","21 
(0.07%)",""
"3","Total Cured/Discharged","23829 
(99.2%)","","5278 
(98.9%)","","29107 
(99.14%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","17","","00","","17",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","91","","24","","115",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","87","","24","","111",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
00 
00 
51"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(06/10/2022)","","Test Done Today 
(07/10/2022)","","Cumulative"
"","","a)RTPCR","39706","","72","","39778"
"","","b)TRUENAT","15344","","10","","15354"
"","","c)RAT","363687","","33","","363720"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719962","","115","","720077"
