"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","771275","0","49695","0","446","1","49236","13"
"2","ALWAR","1552718","5","84422","0","320","6","84057","45"
"3","BANSWARA","304616","1","14738","0","106","1","14603","29"
"4","BARAN","223992","0","15239","0","64","4","15170","5"
"5","BARMER","398104","0","21452","0","205","1","21244","3"
"6","BHARATPUR","470358","0","31421","0","272","2","31125","24"
"7","BHILWARA","496485","0","38176","0","162","2","38006","8"
"8","BIKANER","718721","4","49876","0","586","3","49271","19"
"9","BUNDI","224956","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","445931","0","29362","0","140","3","29221","1"
"11","CHURU","418330","0","20800","0","114","6","20672","14"
"12","DAUSA","279825","1","15772","0","80","0","15689","3"
"13","DHOLPUR","272968","0","13747","0","49","3","13695","3"
"14","DUNGARPUR","325593","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","416322","0","28127","0","158","1","27948","21"
"16","HANUMANGARH","479738","0","22488","0","114","9","22333","41"
"17","JAIPUR","3275227","41","274077","0","2110","55","271554","413"
"18","JAISALMER","240427","0","17036","0","68","0","16966","2"
"19","JALORE","437825","0","10538","0","78","0","10458","2"
"20","JHALAWAR","367601","1","17705","0","207","1","17490","8"
"21","JHUNJHUNU","481880","1","19158","0","181","4","18972","5"
"22","JODHPUR","1381890","20","140963","0","1163","21","139722","78"
"23","KARAULI","232125","1","8965","0","84","0","8879","2"
