"Total No. of Sample Taken Today","24542"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","325"
"Total Active COVID-19 Patients","2195"
"Total No. of Active Cases under Home Isolation (26-02-2022)","2033"
"Total No. of Samples found Positive till date 
Total Omicron Cases:830 (Active – 0, Discharged - 830)","981084"
"Total Positive COVID-19 Patients Recovered / Discharged till date","968311"
"No. of Deaths","10555"
"Total No. of People Vaccinated today","27683 
(1st Dose: 3897, 
2nd Dose: 22173 
Precaution Dose: 1613)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22850265 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 85% for 18yrs above population)","18005666 (85%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","235804"
"Cumulative Coverage of Total COVID-19 Vaccination","41091735"
"COVID-19 Today (26-02-2022) Positivity Rate","1.28%"
"Recovery Rate","98.70%"
"Fatality Rate","1.08%"
"Tests Per Million Population","652622"
