"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22940","","5275","","28215",""
"2","Total Active Cases","26 
(0.11%)","","00 
(0%)","","26 
(0.1%)",""
"3","Total Cured/ Discharged","22746 
(99.2%)","","5215                                  
(98.9%)","","(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","15","","00","","15",""
"7","COVID Care Centre","07","","00","","07",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","412","","44","","456",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","409","","44","","453",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","228 
        00 
        00 
        04 
       232"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(22/03/2022)","","Test Done Today 
(23/03/2022)","","Cumulative"
"","","a)  RTPCR","313574","","393","","313574"
"","","b)  TRUENAT","12771","","31","","12771"
"","","c)  RAT","347336","","18","","347336"
"","","d)  CBNAAT","917","","14","","917"
"","","TOTAL","674598","","456","","675054"
