"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22983","","5281","","28264",""
"2","Total Active Cases","03 
(0.01%)","","00 
(0%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22812 
(99.3%)","","5221 
(98.9%)","","28033 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","01","","00","","01",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","97","","20","","117",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","97","","20","","117",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","59 
12 
10 
03 
84"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(28/05/2022)","","Test Done Today 
(29/05/2022)","","Cumulative"
"","","a)RTPCR","322406","","87","","322493"
"","","b)TRUENAT","14013","","10","","14023"
"","","c)RAT","349243","","20","","349263"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","686767","","117","","686884"
