"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","645843","2","37861","0","410","1","37428","23"
"2","ALWAR","1303093","0","59742","0","307","10","59428","7"
"3","BANSWARA","247763","0","10005","0","104","0","9901","0"
"4","BARAN","172512","0","12000","0","61","0","11936","3"
"5","BARMER","339577","0","15585","0","186","1","15394","5"
"6","BHARATPUR","391013","1","19605","0","260","3","19344","1"
"7","BHILWARA","410914","1","29789","0","156","0","29627","6"
"8","BIKANER","610818","1","40402","0","546","3","39840","16"
"9","BUNDI","184178","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","373028","0","19809","0","139","0","19670","0"
"11","CHURU","332625","0","16723","0","108","0","16615","0"
"12","DAUSA","219775","0","13356","0","62","0","13292","2"
"13","DHOLPUR","230651","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","258884","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","347700","1","19361","0","151","0","19207","3"
"16","HANUMANGARH","401040","0","16076","0","111","3","15952","13"
"17","JAIPUR","2614811","6","188193","0","1971","18","186139","83"
"18","JAISALMER","210891","0","13646","0","66","0","13580","0"
"19","JALORE","386735","0","10068","0","72","0","9995","1"
"20","JHALAWAR","301401","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","396038","0","14825","0","158","5","14660","7"
"22","JODHPUR","1182035","0","112441","0","1103","0","111326","12"
"23","KARAULI","179955","0","7156","0","70","0","7086","0"
