"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","705038","19693907"
"2","Total No. of patients tested Positive","1638","760711"
"3","No. of patients discharged","1442","742692"
"4","Total Deaths reported","9","17755"
"5","Sample collected on the day","","10527"
"6","Test conducted on the day","","10319"
"7","Positive cases on the day","","43"
"8","Number of active Cases","","264"
"9","No. of Patients on oxygen support","","8"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218645"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117385"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","7"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210339"
"18","Frontline Workers vaccinated with 2nd dose on the day","","11"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013129"
"20","Above 45 Vaccinated with 1st dose on the day","","133"
"21","Total Above 45 Vaccinated with 1st dose","","8319496"
"22","Above 45 Vaccinated with 2nd dose on the day","","1181"
"23","Total Above 45 Vaccinated with 2nd dose","","7344943"
"24","18-44 years age group Vaccinated with 1st dose on the day","","527"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12572999"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2537"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10029967"
"28","15-17 years age group Vaccinated with 1st dose on the day","","76"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1080547"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","237"
"31","Total 15-17 years age group Vaccinated with 2nddose","","732878"
"32","12-14 years age group Vaccinated with 1st dose on the day","","164"
"33","Total 12-14 years age group Vaccinated with 1st dose","","586489"
"34","12-14 years age group Vaccinated with 2nddose on the day","","929"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","305174"
"36","Precautionary dose given on the day","","622"
"37","Total Precautionary dose given","","680904"
"38","Total Vaccination 1st dose on the day","","663"
"39","Total Vaccination 2nd dose on the day","","3736"
"40","Total Vaccination 1st and 2nd dose on the day","","4399"
