"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","228","110004","181","107670","3","2282","52"
"2","SAS Nagar","474","96163","384","94917","1","1149","97"
"3","Jalandhar","150","78420","123","76823","1","1579","18"
"4","Patiala","241","62272","220","60792","0","1457","23"
"5","Amritsar","92","59489","87","57795","0","1682","12"
"6","Bathinda","61","50929","55","49833","0","1088","8"
"7","Hoshiarpur","69","40909","74","39806","0","1096","7"
"8","Gurdaspur","24","26963","21","26094","1","865","4"
"9","Pathankot","52","24584","50","24083","0","495","6"
"10","Fazilka","30","23428","42","22881","0","545","2"
"11","Muktsar","13","22567","15","22025","0","539","3"
"12","Kapurthala","41","22076","39","21491","1","583","2"
"13","Ropar","38","17976","30","17513","0","455","8"
"14","Ferozepur","19","17918","19","17379","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","33","16816","34","16475","0","338","3"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","23","13425","26","13014","0","409","2"
"19","FG Sahib","21","11855","12","11492","0","354","9"
"20","Moga","9","10997","9","10740","1","255","2"
"21","Tarn Taran","6","10904","3","10508","0","394","2"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1638","760711","1442","742692","9","17755","264"
