"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","62","2","0","8","34"
"2","ALWAR","62","0","0","1","46"
"3","BANSWARA","2","1","0","2","13"
"4","BARAN","89","0","0","1","1"
"5","BARMER","6","0","0","0","0"
"6","BHARATPUR","9","0","0","0","3"
"7","BHILWARA","20","0","0","5","8"
"8","BIKANER","60","0","0","1","16"
"9","BUNDI","6","0","0","0","8"
"10","CHITTORGARH","4","0","0","3","26"
"11","CHURU","0","0","0","0","0"
"12","DAUSA","5","0","0","2","15"
"13","DHOLPUR","6","0","0","0","3"
"14","DUNGARPUR","1","0","0","2","14"
"15","GANGANAGAR","5","1","0","0","3"
"16","HANUMANGARH","8","0","0","3","4"
"17","JAIPUR","539","6","0","30","134"
"18","JAISALMER","0","0","0","0","0"
"19","JALORE","33","0","0","0","14"
"20","JHALAWAR","10","2","0","0","2"
"21","JHUNJHUNU","88","0","0","0","0"
"22","JODHPUR","89","1","0","1","44"
"23","KARAULI","5","0","0","0","5"
"24","KOTA","210","3","0","1","45"
"25","NAGAUR","8","0","0","1","4"
"26","PALI","61","0","0","0","13"
