"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22857","","5273","","28130",""
"2","Total Active Cases","115 
(0.50%)","","02 
(0.04%)","","117 
(0.42%)",""
"3","Total Cured/ Discharged","22574 
(98.8%)","","5211                                  
(98.8%)","","(98.8%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","0","","04",""
"6","Total Positive cases in Home Isolation","34","","02","","36",""
"7","COVID Care Centre","75","","00","","75",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","516","","32","","548",""
"10","No. of Samples Positive (Today)","11","","00","","11",""
"11","No. of Samples Negative (Today)","499","","32","","531",""
"12","Repeat Positive/ Resampling (Today)","06","","00","","06",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","288 
        00 
        00 
        03 
       291"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(06/03/2022)","","Test Done Today 
(07/03/2022)","","Cumulative"
"","","a)  RTPCR","307243","","506","","307749"
"","","b)  TRUENAT","12440","","21","","12461"
"","","c)  RAT","346987","","20","","347007"
"","","d)  CBNAAT","831","","01","","832"
"","","TOTAL","667501","","548","","668049"
