"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,021"
"2","Number of persons tested positive today in Tamil Nadu","195$"
"3","Total Number of persons tested positive till date","34,56,512"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,762/ 
6,67,30,731@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","13,728/ 
6,55,53,236"
"6","No. of Male / Female / Transgender tested positive today","106/89/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,174/14,39,300/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","101/ 
34,17,466"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
