"S. No","Subject","Number"
"1","Total Number of people vaccinated on 14th Feb","24,739"
"2","First Dose on 14th Feb","1,439"
"3","Second Dose on 14th Feb","20,292"
"4","Precaution Dose on 14th Feb","3,008"
"5","Cumulative Vaccination till 14th Feb","12,54,73,740"
"6","Cumulative Vaccination First Dose","6,94,07,198"
"7","Cumulative Vaccination Second Dose","5,46,85,656"
"8","Cumulative Precaution Dose","13,80,886"
"9","Number of CVC (Common Vaccination Centres)","826"
"10","Cumulative AEFI cases reported","6,885"
"11","Vaccine wastage","-7%"
