"S. No","Subject","Number"
"1","Total Number of people vaccinated on 8th Feb","6,20,841"
"2","First Dose on 8th Feb","39,635"
"3","Second Dose on 8th Feb","5,22,457"
"4","Precaution Dose on 8th Feb","58,749"
"5","Cumulative Vaccination till 8th Feb","12,28,99,409"
"6","Cumulative Vaccination First Dose","6,92,22,987"
"7","Cumulative Vaccination Second Dose","5,25,19,975"
"8","Cumulative Precaution Dose","11,56,447"
"9","Number of CVC (Common Vaccination Centres)","5,673"
"10","Cumulative AEFI cases reported","6,837"
"11","Vaccine wastage","-7%"
