"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","609459","1","37772","0","410","0","37359","3"
"2","ALWAR","1212089","1","59695","0","307","0","59387","1"
"3","BANSWARA","220279","0","10005","0","104","0","9901","0"
"4","BARAN","152667","0","11996","0","61","0","11935","0"
"5","BARMER","325047","0","15564","0","185","0","15378","1"
"6","BHARATPUR","380041","0","19601","0","260","0","19341","0"
"7","BHILWARA","380679","0","29782","0","156","0","29625","1"
"8","BIKANER","586966","0","40347","0","545","0","39794","8"
"9","BUNDI","170424","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","352342","0","19809","0","139","0","19670","0"
"11","CHURU","310188","0","16720","0","107","0","16613","0"
"12","DAUSA","203766","0","13351","0","62","0","13289","0"
"13","DHOLPUR","220733","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","239655","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","326372","0","19355","0","150","0","19204","1"
"16","HANUMANGARH","363449","0","16053","0","111","0","15942","0"
"17","JAIPUR","2487569","2","187831","0","1970","2","185834","27"
"18","JAISALMER","202316","0","13639","0","66","0","13573","0"
"19","JALORE","368874","0","10067","0","72","0","9995","0"
"20","JHALAWAR","270479","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","361029","0","14811","0","158","0","14653","0"
"22","JODHPUR","1144236","0","112414","0","1103","0","111309","2"
"23","KARAULI","165926","0","7156","0","70","0","7086","0"
