"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1621329","20611793"
"2","Total No. of patients tested Positive","23227","783755"
"3","No. of patients discharged","22437","762711"
"4","Total Deaths reported","179","20485"
"5","Sample collected on the day","","10062"
"6","Test conducted on the day","","9975"
"7","Positive cases on the day","","84"
"8","Number of active Cases","","559"
"9","No. of Patients on oxygen support","","22"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218867"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117894"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211871"
"18","Frontline Workers vaccinated with 2nd dose on the day","","23"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018971"
"20","Above 45 Vaccinated with 1st dose on the day","","119"
"21","Total Above 45 Vaccinated with 1st dose","","8345047"
"22","Above 45 Vaccinated with 2nd dose on the day","","660"
"23","Total Above 45 Vaccinated with 2nd dose","","7643224"
"24","18-44 years age group Vaccinated with 1st dose on the day","","367"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12654750"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1776"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10671313"
"28","15-17 years age group Vaccinated with 1st dose on the day","","196"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112117"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","619"
"31","Total 15-17 years age group Vaccinated with 2nddose","","853835"
"32","12-14 years age group Vaccinated with 1st dose on the day","","769"
"33","Total 12-14 years age group Vaccinated with 1st dose","","668096"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1193"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","465972"
"36","Precautionary dose given on the day","","7423"
"37","Total Precautionary dose given","","1646617"
"38","Total Vaccination 1st dose on the day","","491"
"39","Total Vaccination 2nd dose on the day","","2467"
"40","Total Vaccination 1st and 2nd dose on the day","","2958"
