"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23962","","5337","","29299",""
"2","Total Active Cases","34 
(0.14%)","","00 
(0%)","","34 
(0.12%)",""
"3","Total Cured/Discharged","23758 
(99.15%)","","5277 
(98.9%)","","29035 
(99.09%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","17","","00","","17",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","15","","00","","15",""
"9","No. of Samples Tested (Today)","100","","32","","132",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","96","","32","","128",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","61 
28 
00 
00 
89"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(14/09/2022)","","Test Done Today 
(15/09/2022)","","Cumulative"
"","","a)RTPCR","38181","","83","","38264"
"","","b)TRUENAT","15113","","10","","15123"
"","","c)RAT","363018","","39","","363057"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","717537","","132","","717669"
