"1","Total Samples taken","16473427"
"2","Sample collected on the day","12176"
"3","Test conducted on the day","19835"
"4","Total No. of patients tested Positive","603761"
"5","No. of patients discharged","586794"
"6","Number of active Cases","347"
"7","Total Deaths reported","16620"
"8","No. of Patients on oxygen support","20"
"9","Patients at critical care Level-3 facilities","8"
"10","Patients who are critical and on ventilator support","0"
"11","Healthcare Workers vaccinated with 1st dose on the day","18"
"12","Total Healthcare Workers vaccinated with 1st dose","217832"
"13","Frontline Workers vaccinated with 1st dose on the day","124"
"14","Total Frontline Workers vaccinated with 1st dose","1154076"
"15","Healthcare Workers vaccinated with 2nd dose on the day","54"
"16","Total Healthcare Workers vaccinated with 2nd dose","141308"
"17","Frontline Workers vaccinated with 2nd dose on the day","555"
"18","Total Frontline Workers vaccinated with 2nd dose","341107"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","142"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","609"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1371908"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","482415"
"23","Above 45 Vaccinated with 1st dose on the day","5962"
"24","Total Above 45 Vaccinated with 1st dose","6376829"
"25","Above 45 Vaccinated with 2nd dose on the day","23494"
"26","Total Above 45 Vaccinated with 2nd dose","3594171"
"27","18-44 years age group Vaccinated with 1st dose on the day","17433"
"28","Total 18-44 years age group Vaccinated with 1st dose","8969145"
"29","18-44 years age group Vaccinated with 2nd dose on the day","51713"
"30","Total 18-44 years age group Vaccinated with 2nd dose","4382458"
"31","Total Vaccination 1st dose on the day","23537"
"32","Total Vaccination 2nd dose on the day","75816"
"33","Total Vaccination 1st and 2nd dose on the day","99353"
