"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 27.10.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","233","",""
"","","2","Total Discharges","4026177","",""
"","","3","Today's Tests Conducted","2763","",""
"","","4","Total Tests Conducted","69390359","",""
"","","5","Today’s Positives","114","",""
"","","6","New Cases Reported (26.10.2022, 00:00 to 23:59)","195","",""
"","","7","Total Active Cases","1915","",""
"","","8","Today's Deaths Reported","0","",""
"","","9","Total Covid Deaths","40254","",""
"","","10","Total Positive Cases","4068388","",""
"","","11","Positivity Rate for the day (26.10.2022, 00:00 to 23:59)","4.12%","",""
"","","12","*Weekly Total Positivity Rate","2.91%","",""
"","","13","Case Fatality Rate (CFR) for the day (26.10.2022, 00:00 to 23:59)","0.00","",""
"","","14","*Weekly Case Fatality Rate","0.17%","",""
"*From 21-10-2022 to 27-10-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5261* 
1708699 
          *Date: 26-10-2022 
 
Date: 27-10 -2022 
Page 1 of 6","","","","","",""
