"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,321"
"2","Number of persons tested positive today in Tamil Nadu","669"
"","Passengers returned from other states  by Road tested 
positive today","Jharkhand-1 
West Bengal-1"
"","Total","671"
"3","Total Number of persons tested positive till date","34,46,388"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","61,469/ 
6,40,22,749@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","60,677/ 
6,28,52,385"
"6","No. of Male / Female / Transgender tested positive today","394/277/0"
"7","No. of Male / Female / Transgender tested positive till date","20,11,558/14,34,792/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,375/ 
33,96,078"
"10","Total number of deaths today/ till date","8(4 Private &  
4 Govt) /37,989"
