"Total No. of Sample Taken Today","6723"
"Total No. of Positive Cases Detected Today","44"
"Total Active COVID-19 Patients","220"
"Total No. of Active Cases under Home Isolation (19-10-2022)","212"
"Total No. of Samples found Positive till date","1055715"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1044762"
"No. of Deaths","10710"
"Total No. of People Vaccinated Today","1671 
(1st Dose: 162 
2nd Dose: 486 
Precaution Dose: 1023)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23668124 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19815266 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1928688"
"Cumulative Coverage of Total COVID-19 Vaccination","45412078"
"COVID-19 Today (19-10-2022) Positivity Rate","0.75%"
"Recovery Rate","98.96%"
"Fatality Rate","1.01%"
