"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1567272","20557736"
"2","Total No. of patients tested Positive","22739","783267"
"3","No. of patients discharged","21665","761939"
"4","Total Deaths reported","173","20479"
"5","Sample collected on the day","","10236"
"6","Test conducted on the day","","10008"
"7","Positive cases on the day","","112"
"8","Number of active Cases","","849"
"9","No. of Patients on oxygen support","","35"
"10","Patients at critical care Level-3 facilities","","9"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218861"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117876"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211840"
"18","Frontline Workers vaccinated with 2nd dose on the day","","28"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018811"
"20","Above 45 Vaccinated with 1st dose on the day","","150"
"21","Total Above 45 Vaccinated with 1st dose","","8344224"
"22","Above 45 Vaccinated with 2nd dose on the day","","969"
"23","Total Above 45 Vaccinated with 2nd dose","","7639083"
"24","18-44 years age group Vaccinated with 1st dose on the day","","514"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12652282"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3006"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10660385"
"28","15-17 years age group Vaccinated with 1st dose on the day","","232"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111321"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1104"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","851021"
"32","12-14 years age group Vaccinated with 1st dose on the day","","607"
"33","Total 12-14 years age group Vaccinated with 1st dose","","665086"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","1285"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","461199"
"36","Precautionary dose given on the day","","12865"
"37","Total Precautionary dose given","","1599421"
"38","Total Vaccination 1st dose on the day","","672"
"39","Total Vaccination 2nd dose on the day","","4008"
"40","Total Vaccination 1st and 2nd dose on the day","","4680"
