"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23965","","5338","","29303",""
"2","Total Active Cases","33 
(0.14%)","","01 
(0.02%)","","34 
(0.12%)",""
"3","Total Cured/Discharged","23762 
(99.15%)","","5277 
(98.85%)","","29039 
(99.09%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","16","","01","","17",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","14","","00","","14",""
"9","No. of Samples Tested (Today)","111","","28","","139",""
"10","No. of Samples Positive (Today)","03","","01","","04",""
"11","No. of Samples Negative (Today)","108","","27","","135",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","63 
23 
07 
00 
93"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(15/09/2022)","","Test Done Today 
(16/09/2022)","","Cumulative"
"","","a)RTPCR","38264","","81","","38345"
"","","b)TRUENAT","15123","","10","","15133"
"","","c)RAT","363057","","48","","363105"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","717669","","139","","717808"
