"Total No. of Sample Taken Today","38605"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","6029"
"Total Active COVID-19 Patients","42792"
"Total No. of Active Cases under Home Isolation (25-01-2022)","41182"
"Total No. of Samples found Positive till date 
Total Omicron Cases:307 (Active – 01, Discharged - 306)","920855"
"Total Positive COVID-19 Patients Recovered / Discharged till date","867828"
"No. of Deaths","10212"
"Total No. of People Vaccinated today","112072 
(1st Dose: 39175, 
2nd Dose: 67113 
Precaution Dose:5784)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22356032 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 80% for 18yrs above population)","16411002 (80%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","117715"
"Cumulative Coverage of Total COVID-19 Vaccination","38884749"
"COVID-19 Today (25-01-2022) Positivity Rate","18.50%"
"Recovery Rate","94.24%"
"Fatality Rate","1.11%"
"Tests Per Million Population","617745"
