"1","Total Samples taken","16582171"
"2","Sample collected on the day","27785"
"3","Test conducted on the day","27287"
"4","Total No. of patients tested Positive","603892"
"5","No. of patients discharged","586941"
"6","Number of active Cases","325"
"7","Total Deaths reported","16626"
"8","No. of Patients on oxygen support","25"
"9","Patients at critical care Level-3 facilities","12"
"10","Patients who are critical and on ventilator support","1"
"11","Healthcare Workers vaccinated with 1st dose on the day","4"
"12","Total Healthcare Workers vaccinated with 1st dose","217864"
"13","Frontline Workers vaccinated with 1st dose on the day","1"
"14","Total Frontline Workers vaccinated with 1st dose","1154417"
"15","Healthcare Workers vaccinated with 2nd dose on the day","18"
"16","Total Healthcare Workers vaccinated with 2nd dose","141433"
"17","Frontline Workers vaccinated with 2nd dose on the day","49"
"18","Total Frontline Workers vaccinated with 2nd dose","342256"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","5"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","67"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1372281"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","483689"
"23","Above 45 Vaccinated with 1st dose on the day","2959"
"24","Total Above 45 Vaccinated with 1st dose","6394313"
"25","Above 45 Vaccinated with 2nd dose on the day","12716"
"26","Total Above 45 Vaccinated with 2nd dose","3663096"
"27","18-44 years age group Vaccinated with 1st dose on the day","9912"
"28","Total 18-44 years age group Vaccinated with 1st dose","9028512"
"29","18-44 years age group Vaccinated with 2nd dose on the day","34128"
"30","Total 18-44 years age group Vaccinated with 2nd dose","4566566"
"31","Total Vaccination 1st dose on the day","12876"
"32","Total Vaccination 2nd dose on the day","46911"
"33","Total Vaccination 1st and 2nd dose on the day","59787"
