"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","629570","2","37829","0","410","0","37394","25"
"2","ALWAR","1250231","1","59715","0","307","0","59398","10"
"3","BANSWARA","231664","0","10005","0","104","0","9901","0"
"4","BARAN","161972","0","11997","0","61","0","11936","0"
"5","BARMER","332357","1","15573","0","185","0","15384","4"
"6","BHARATPUR","383817","0","19601","0","260","0","19341","0"
"7","BHILWARA","393090","0","29783","0","156","0","29626","1"
"8","BIKANER","597678","4","40367","0","545","0","39802","20"
"9","BUNDI","176251","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","361342","0","19809","0","139","0","19670","0"
"11","CHURU","318927","1","16721","0","107","0","16613","1"
"12","DAUSA","211076","0","13353","0","62","0","13289","2"
"13","DHOLPUR","225485","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","249934","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","334156","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","378383","0","16054","0","111","0","15942","1"
"17","JAIPUR","2550197","8","188018","0","1971","9","185933","114"
"18","JAISALMER","206614","0","13644","0","66","2","13575","3"
"19","JALORE","376000","0","10067","0","72","0","9995","0"
"20","JHALAWAR","284522","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","374209","0","14811","0","158","0","14653","0"
"22","JODHPUR","1161082","1","112422","0","1103","0","111312","7"
"23","KARAULI","171221","0","7156","0","70","0","7086","0"
