"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17478","","3620","","21098",""
"2","Total Active Cases","126 
(0.72%)","","04 
(0.11%)","","130 
(0.62%)",""
"3","Total Cured/ Discharged","17201 
(98.4%)","","3558 
(98.3%)","","20759 
(98.4%)",""
"4","Total Died","151 
(0.86%)","","58 
(1.60%)","","209 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","0","","21",""
"6","Total Positive cases in Home Isolation","105","","04","","109",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","00","","0","","00",""
"9","No. of Samples Tested (Today)","534","","35","","569",""
"10","No. of Samples Positive (Today)","10","","01","","11",""
"11","No. of Samples Negative (Today)","523","","34","","557",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","143 
          00 
     00 
          07 
          150"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(10/11/2021)","","Test Done Today 
(11/11/2021)","","Cumulative"
"","","a)  RTPCR","218093","","511                   218604","",""
"","","b)  TRUENAT","11003","","04","","11007"
"","","c)  RAT","329312","","54","","329366"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","558555","","569","","559124"
