"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,678"
"2","Number of persons tested positive today in Tamil Nadu","771"
"3","Total Number of persons tested positive till date","34,63,068"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,380/ 
6,69,44,420@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,227/ 
6,57,65,960"
"6","No. of Male / Female / Transgender tested positive today","419/352/0"
"7","No. of Male / Female / Transgender tested positive till date","20,20,685/14,42,345/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","459/ 
34,20,364"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
